110,Torembi Airport,AYVM,PG,OC,90
111,Bapi Airstrip,AYBP,PG,OC,2930
112,Rhinelander Oneida County Airport,KRHI,US,NA,1624
113,Sendai Airport,RJSS,JP,AS,15
114,Edward Bodden Airfield,MWCL,KY,NA,3
115,Cowley Airport,CYYM,CA,NA,3876
116,Maimun Saleh Airport,WITN,ID,AS,393
117,Grajaú Airport,SNGJ,BR,SA,773
118,Port-de-Paix Airport,MTPX,HT,NA,9
119,Tabuk Airport,OETB,SA,AS,2551
120,Ulan-Ude Airport (Mukhino),UIUU,RU,AS,1690
121,Angoulême-Brie-Champniers Airport,LFBU,FR,EU,436
122,Marromeu Airport,,MZ,AF,43
123,Scammon Bay Airport,PACM,US,NA,14
124,Shahroud Airport,OIMJ,IR,AS,4215
125,Khaneh Airport,OITH,IR,AS,4804
126,Whale Pass Seaplane Float Harbor Facility,,US,NA,0
127,Obando Airport,SKPD,CO,SA,460
128,Skiathos Island National Airport,LGSK,GR,EU,54
129,Ormoc Airport,RPVO,PH,AS,83
130,La Guaira Airport,,VE,SA,2569
131,Sukhumi Dranda Airport,UGSS,GE,AS,53
132,Mana Island Airport,NFMA,FJ,OC,0
133,Komatipoort Airport,FAKP,ZA,AF,541
134,Alferez FAP Alfredo Vladimir Sara Bauer Airport,SPAS,PE,SA,728
135,Samaná El Catey International Airport,MDCY,DO,NA,30
136,Foumban Nkounja Airport,FKKM,CM,AF,3963
137,Sanikiluaq Airport,CYSK,CA,NA,104
138,Hao Airport,NTTO,PF,OC,10
139,Chester County G O Carlson Airport,KMQS,US,NA,660
140,Fremont County Airport,1V6,US,NA,5439
141,Kabalo Airport,FZRM,CD,AF,1840
142,Rimatara Airport,NTAM,PF,OC,60
143,La Pedrera Airport,SKLP,CO,SA,590
144,San Carlos De Bariloche Airport,SAZS,AR,SA,2774
145,Bismarck Municipal Airport,KBIS,US,NA,1661
146,Palm Beach Seaplane Base,,AU,OC,0
147,Wudinna Airport,YWUD,AU,OC,310
148,Badu Island Airport,YBAU,AU,OC,14
149,Seinäjoki Airport,EFSI,FI,EU,302
150,Achmad Yani Airport,WAHS,ID,AS,10
151,Lake Placid Airport,KLKP,US,NA,1747
152,Barkley Regional Airport,KPAH,US,NA,410
153,Anuradhapura Air Force Base,VCCA,LK,AS,324
154,Surgut Airport,USRR,RU,AS,200
155,Nanaimo Airport,CYCD,CA,NA,92
156,Kish International Airport,OIBK,IR,AS,101
157,Marshfield Municipal Airport,KMFI,US,NA,1277
158,Lake Cumberland Regional Airport,KSME,US,NA,927
159,Nephi Municipal Airport,U14,US,NA,5022
160,Balranald Airport,YBRN,AU,OC,210
161,Treasure Cay Airport,MYAT,BS,NA,8
162,Chilko Lake (Tsylos Park Lodge) Airport,CAG3,CA,NA,3850
163,Brewarrina Airport,YBRW,AU,OC,414
164,Mali Airport,WATM,ID,AS,10
165,Ben Schoeman Airport,FAEL,ZA,AF,435
166,Trabzon International Airport,LTCG,TR,AS,104
167,Tours-Val-de-Loire Airport,LFOT,FR,EU,357
168,Mucuri Airport,SNMU,BR,SA,276
169,Toowoomba Airport,YTWB,AU,OC,2086
170,Wright Field,KDWF,US,NA,800
171,Hiroshima Airport,RJOA,JP,AS,1088
172,Adareil Airport,,SS,AF,1301
173,Mossendjo Airport,FCMM,CG,AF,1519
174,Pointe Noire Airport,FCPP,CG,AF,55
175,Tabora Airport,HTTB,TZ,AF,3868
176,Reese Airpark,8XS8,US,NA,3338
177,Puerto Armuelles Airport,,PA,NA,42
178,Padova Airport,LIPU,IT,EU,44
179,Madurai Airport,VOMD,IN,AS,459
180,Grímsey Airport,BIGR,IS,EU,66
181,Faleolo International Airport,NSFA,WS,OC,58
182,Shawnee Regional Airport,KSNL,US,NA,1073
183,Aurora Municipal Airport,KARR,US,NA,712
184,Minangkabau International Airport,WIEE,ID,AS,18
185,Lowai Airport,AYLO,PG,OC,2900
186,Ciudad Real Central Airport,LERL,ES,EU,0
187,Ken Jones Airport,MKKJ,JM,NA,20
188,Matsumoto Airport,RJAF,JP,AS,2182
189,Saransk Airport,UWPS,RU,EU,676
190,Tabriz International Airport,OITT,IR,AS,4459
191,Great Bend Municipal Airport,KGBD,US,NA,1887
192,Gwangju Airport,RKJJ,KR,AS,39
193,Hyvinkää Airfield,EFHV,FI,EU,430
194,Dubuque Regional Airport,KDBQ,US,NA,1077
195,San Cristóbal Airport,SEST,EC,SA,62
196,Paruma Airport,SYPR,GY,SA,1765
197,Andes Airport,SKAN,CO,SA,3900
198,Paraburdoo Airport,YPBO,AU,OC,1406
199,Andorra la Vella Heliport,,AD,EU,3450
200,Seldovia Airport,PASO,US,NA,29
201,Kastelorizo Airport,LGKJ,GR,EU,489
202,Kenieba Airport,GAKA,ML,AF,449
